ranking_date,rank,player,points,tours
20150921,163,206252,316,26
20150921,390,211148,83,12
20150921,704,214544,23,10
20150928,100,214082,601,
20150928,161,202468,329,
20150928,165,206252,316,
20150928,452,211148,65,
20150928,710,214544,23,
20151005,104,214082,601,20
20151005,160,202468,329,22
20151005,164,206252,323,27
20151005,444,211148,68,14
20151005,712,214544,23,10
20151012,102,214082,601,20
20151012,151,202468,343,22
20151012,161,206252,323,28
20151012,450,211148,68,14
20151012,616,214544,35,11
20151019,104,214082,610,20
20151019,151,202468,343,22
20151019,164,206252,314,27
20151019,446,211148,68,14
20151019,539,214544,47,12
20151026,73,214082,817,
20151026,150,202468,349,
20151026,164,206252,318,
20151026,493,211148,54,
20151026,545,214544,47,
20151102,71,214082,817,20
20151102,152,202468,349,24
20151102,164,206252,318,29
20151102,551,214544,47,12
20151102,556,211148,46,11
20151109,72,214082,812,
20151109,151,202468,349,
20151109,187,206252,269,
20151109,548,214544,47,
20151109,581,211148,41,
20151116,74,214082,812,
20151116,150,202468,349,
20151116,187,206252,269,
20151116,547,214544,47,
20151116,580,211148,41,
20151123,75,214082,812,
20151123,152,202468,349,
20151123,188,206252,269,
20151123,456,214544,64,
20151123,475,211148,59,
20151130,75,214082,812,
20151130,155,202468,349,
20151130,190,206252,269,
20151130,459,214544,64,
20151130,478,211148,59,
20151207,75,214082,812,
20151207,155,202468,349,
20151207,190,206252,269,
20151207,458,214544,64,
20151207,478,211148,59,
20151214,75,214082,812,
20151214,155,202468,349,
20151214,188,206252,269,
20151214,460,214544,64,
20151214,478,211148,59,
20151221,75,214082,812,
20151221,155,202468,349,
20151221,188,206252,269,
20151221,460,214544,64,
20151221,479,211148,59,
20151228,75,214082,812,
20151228,155,202468,349,
20151228,188,206252,269,
20151228,385,214544,94,
20151228,482,211148,59,
20160104,75,214082,812,
20160104,156,202468,349,
20160104,188,206252,269,
20160104,296,214544,143,
20160104,483,211148,59,
20160111,70,214082,841,20
20160111,155,202468,349,24
20160111,185,206252,269,28
20160111,294,214544,143,
20160111,483,211148,59,
20160118,69,214082,849,21
20160118,156,202468,349,25
20160118,194,206252,256,27
20160118,295,214544,143,13
20160118,484,211148,59,11
20160201,61,214082,915,20
20160201,147,202468,390,25
20160201,188,206252,266,27
20160201,294,214544,143,13
20160201,489,211148,59,11
20160208,63,214082,898,19
20160208,150,202468,380,24
20160208,189,206252,266,26
20160208,297,214544,142,12
20160208,490,211148,59,11
20160215,45,214082,1082,20
20160215,150,202468,380,24
20160215,189,206252,266,26
20160215,295,214544,142,12
20160215,486,211148,59,11
20160222,47,214082,1082,20
20160222,148,202468,380,24
20160222,190,206252,266,26
20160222,284,214544,147,13
20160222,485,211148,59,11
20160229,46,214082,1137,21
20160229,150,202468,377,23
20160229,191,206252,262,26
20160229,255,214544,177,14
20160229,484,211148,59,11
20160307,48,214082,1137,21
20160307,151,202468,377,23
20160307,188,206252,274,26
20160307,254,214544,178,15
20160307,479,211148,60,12
20160314,48,214082,1137,
20160314,151,202468,377,
20160314,188,206252,274,
20160314,254,214544,178,
20160314,479,211148,60,
20160321,36,214082,1342,
20160321,151,202468,377,
20160321,187,206252,274,
20160321,255,214544,178,
20160321,477,211148,60,
20160328,36,214082,1342,
20160328,151,202468,377,
20160328,187,206252,274,
20160328,255,214544,178,
20160328,477,211148,60,
20160404,35,214082,1367,
20160404,147,202468,378,
20160404,188,206252,270,
20160404,257,214544,174,
20160404,473,211148,62,
20160411,32,214082,1454,22
20160411,159,202468,354,25
20160411,191,206252,266,24
20160411,258,214544,174,13
20160411,476,211148,62,13
20160418,32,214082,1454,22
20160418,160,202468,354,25
20160418,192,206252,270,25
20160418,260,214544,174,13
20160418,476,211148,61,12
20160418,958,214981,10,3
20160425,32,214082,1454,22
20160425,152,202468,368,25
20160425,192,206252,270,25
20160425,263,214544,174,13
20160425,488,211148,57,11
20160425,958,214981,10,3
20160502,32,214082,1454,21
20160502,150,202468,375,25
20160502,182,206252,299,25
20160502,255,214544,180,13
20160502,453,211148,69,12
