ranking_date,rank,player,points
20120206,80,105777,641
20120206,1502,106421,1
20120213,1,104925,13630
20120213,82,105777,641
20120213,1502,106421,1
20120220,1,104925,13630
20120220,83,105777,641
20120220,1498,106421,1
20120227,1,104925,13130
20120227,84,105777,629
20120227,1499,106421,1
20120305,1,104925,13310
20120305,102,105777,539
20120305,1506,106421,1
20120319,1,104925,12670
20120319,101,105777,564
20120319,1507,106421,1
20120402,1,104925,12670
20120402,86,105777,628
20120409,1,104925,12670
20120409,87,105777,608
20120416,1,104925,12670
20120416,86,105777,608
20120423,1,104925,13270
20120423,85,105777,624
20120430,1,104925,13020
20120430,94,105777,579
20120507,1,104925,12020
20120507,96,105777,571
20120514,1,104925,11200
20120514,94,105777,579
20120521,1,104925,11800
20120521,95,105777,579
20120528,1,104925,11800
20120528,87,105777,611
20120611,1,104925,12280
20120611,72,105777,646
20120618,1,104925,12280
20120618,65,105777,691
20120625,1,104925,12280
20120625,69,105777,691
20120709,2,104925,11000
20120709,69,105777,671
20120716,2,104925,11000
20120716,61,105777,761
20120723,2,104925,11000
20120723,53,105777,843
20120730,2,104925,11000
20120730,53,105777,831
20120806,2,104925,11270
20120806,53,105777,821
20120813,2,104925,11270
20120813,52,105777,821
20120820,2,104925,11270
20120820,56,105777,776
20120827,2,104925,11270
20120827,58,105777,756
20120827,1537,100644,1
20120910,2,104925,10470
20120910,60,105777,756
20120910,1392,100644,2
20120917,2,104925,10470
20120917,59,105777,756
20120917,1397,100644,2
20120924,2,104925,10470
20120924,56,105777,756
20120924,1406,100644,2
20121001,2,104925,10470
20121001,60,105777,731
20121001,1409,100644,2
20121008,2,104925,10970
20121008,56,105777,751
20121008,1398,100644,2
20121015,2,104925,11970
20121015,59,105777,751
20121015,1298,100644,3
20121022,2,104925,11970
20121022,62,105777,706
20121022,1307,100644,3
20121029,2,104925,11970
20121029,55,105777,796
20121029,1153,100644,5
20121105,1,104925,11420
20121105,48,105777,866
20121105,1156,100644,5
20121112,1,104925,12920
20121112,48,105777,866
20121112,1165,100644,5
20121119,1,104925,12920
20121119,48,105777,866
20121119,1163,100644,5
20121126,1,104925,12920
20121126,48,105777,866
20121126,824,100644,15
20121203,1,104925,12920
20121203,48,105777,866
20121203,825,100644,15
20121210,1,104925,12920
20121210,48,105777,866
20121210,828,100644,15
20121217,1,104925,12920
20121217,48,105777,866
20121217,831,100644,15
20121224,1,104925,12920
20121224,48,105777,866
20121224,833,100644,15
20121231,1,104925,12920
20121231,48,105777,866
20121231,837,100644,15
20130107,1,104925,12920
20130107,41,105777,1008
20130107,839,100644,15
20130114,1,104925,12920
20130114,41,105777,1008
20130114,839,100644,15
20130128,1,104925,12920
20130128,40,105777,973
20130128,841,100644,15
20130204,1,104925,12960
20130204,40,105777,973
20130204,842,100644,15
20130211,1,104925,12960
20130211,41,105777,973
20130211,845,100644,15
20130218,1,104925,12960
20130218,34,105777,1137
20130218,845,100644,15
20130225,1,104925,12960
20130225,33,105777,1137
20130225,842,100644,15
20130304,1,104925,13280
20130304,31,105777,1137
20130304,842,100644,15
20130318,1,104925,13280
20130318,32,105777,1157
20130318,821,100644,16
20130401,1,104925,12370
20130401,35,105777,1112
20130401,821,100644,16
20130408,1,104925,12500
20130408,35,105777,1112
20130408,827,100644,16
20130415,1,104925,12500
20130415,34,105777,1112
20130415,827,100644,16
20130422,1,104925,12900
20130422,28,105777,1272
20130422,828,100644,16
20130429,1,104925,12900
20130429,29,105777,1272
20130429,823,100644,16
20130506,1,104925,12900
20130506,28,105777,1272
20130506,822,100644,16
20130513,1,104925,12730
20130513,26,105777,1342
20130513,827,100644,16
20130520,1,104925,12310
20130520,28,105777,1355
20130520,826,100644,16
